date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-06-01,1.76,19.2,16.2,71.0,92.0,40.0,84.92,0.6,9.2,13.4,30.02
2019-06-02,1.91,19.8,18.3,72.0,98.0,46.0,84.91,0.6,39.0,15.0,32.42
2019-06-03,1.96,22.0,17.1,70.0,98.0,38.0,84.85,0.9,0.1,15.0,32.41
2019-06-04,1.89,20.7,16.8,66.0,96.0,45.0,84.97,3.9,0.0,15.8,33.6
2019-06-05,1.86,20.2,16.6,68.0,96.0,48.0,85.07,2.9,0.0,14.0,30.89
2019-06-06,2.03,21.6,18.8,69.0,98.0,52.0,85.04,2.3,0.0,16.0,33.88
2019-06-07,2.05,23.0,17.5,63.0,98.0,40.0,84.88,2.2,9.5,17.0,35.37
2019-06-08,1.9,19.4,18.3,81.0,96.0,57.0,85.01,2.2,0.2,12.6,28.76
2019-06-09,2.1,21.6,19.8,76.0,98.0,47.0,85.18,0.7,0.0,14.6,31.76
2019-06-10,1.8,21.7,15.2,58.0,98.0,34.0,85.22,2.4,0.0,15.0,32.35
2019-06-11,1.6,18.5,12.9,50.0,98.0,27.0,85.2,1.0,0.0,13.0,29.34
2019-06-12,2.03,22.1,17.5,66.0,98.0,44.0,85.04,2.7,30.3,16.0,33.83
2019-06-13,1.77,19.2,15.8,64.0,98.0,42.0,85.2,1.0,38.6,13.0,29.33
2019-06-14,1.85,21.1,16.2,64.0,98.0,40.0,85.18,0.9,0.0,13.0,29.33
2019-06-15,1.85,20.4,17.8,74.0,98.0,48.0,85.16,0.6,0.0,12.0,27.82
2019-06-16,1.77,18.6,17.1,67.0,91.0,46.0,85.1,1.4,0.0,15.0,32.31
2019-06-17,1.69,19.0,15.9,55.0,81.0,38.0,85.02,2.2,0.0,14.8,32.0
2019-06-18,2.0,21.5,18.6,71.0,98.0,44.0,85.14,1.2,11.3,13.8,30.5
2019-06-19,1.76,19.1,15.8,62.0,96.0,37.0,85.15,1.6,0.2,14.0,30.8
2019-06-20,1.86,23.1,16.9,59.0,98.0,37.0,85.04,2.8,0.0,12.0,27.8
2019-06-21,1.98,21.4,17.4,65.0,98.0,40.0,85.1,2.7,0.0,14.0,30.79
2019-06-22,1.76,18.4,15.7,70.0,97.0,50.0,85.2,2.7,0.0,11.0,26.3
2019-06-23,1.49,15.2,14.7,62.0,80.0,42.0,85.21,0.6,0.0,12.0,27.8
2019-06-24,1.98,20.9,18.1,66.0,91.0,50.0,84.98,3.8,0.0,17.0,35.27
2019-06-25,2.09,22.1,18.4,79.0,98.0,55.0,85.06,2.4,0.0,17.0,35.27
2019-06-26,1.87,21.0,16.8,65.0,98.0,39.0,85.1,2.4,0.0,14.0,30.78
2019-06-27,1.95,21.2,17.5,71.0,98.0,49.0,85.17,0.8,0.0,15.0,32.27
2019-06-28,1.75,19.5,15.5,58.0,98.0,38.0,85.12,1.3,0.0,14.0,30.78
2019-06-29,1.82,21.1,14.8,73.0,97.0,46.0,85.28,0.6,5.4,13.0,29.28
2019-06-30,1.69,17.2,16.4,87.0,98.0,68.0,85.34,0.6,0.0,13.0,29.28
