date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-01-01,1.51,16.6,14.2,76.0,85.0,64.0,85.04,6.7,19.0,11.4,20.23
2020-01-02,1.6,16.8,15.6,93.0,98.0,78.0,84.76,4.8,3.4,10.0,18.57
2020-01-03,1.04,12.9,9.3,82.0,97.0,43.0,85.2,2.3,0.0,1.2,7.99
2020-01-04,0.88,10.2,8.2,69.0,97.0,42.0,85.81,2.7,0.0,2.6,9.69
2020-01-05,0.88,10.2,8.2,69.0,97.0,42.0,85.81,2.7,0.0,2.6,9.71
2020-01-06,1.0,13.3,8.0,58.0,94.0,30.0,85.43,2.7,0.0,1.0,7.79
2020-01-07,1.09,12.3,9.7,56.0,93.0,32.0,85.32,2.0,0.0,6.6,14.61
2020-01-08,1.09,12.6,9.3,58.0,95.0,38.0,85.38,1.3,0.0,3.0,10.26
2020-01-09,1.25,14.2,10.2,63.0,95.0,39.0,85.26,2.6,0.0,3.0,10.29
2020-01-10,1.16,13.3,10.2,60.0,95.0,45.0,85.2,3.2,0.0,3.0,10.31
2020-01-11,1.13,13.9,10.0,80.0,92.0,46.0,85.23,1.7,0.0,3.0,10.34
2020-01-12,1.1,12.2,9.7,76.0,95.0,44.0,85.29,1.3,0.0,2.0,9.14
2020-01-13,1.2,12.9,10.1,59.0,99.0,35.0,85.3,1.1,0.0,3.8,11.37
2020-01-14,1.23,13.6,10.6,58.0,95.0,37.0,85.22,2.0,0.0,3.4,10.91
2020-01-15,1.32,15.2,10.8,61.0,90.0,38.0,85.12,1.6,0.0,6.0,14.15
2020-01-16,1.42,16.8,12.3,63.0,95.0,39.0,85.14,1.7,0.0,6.0,14.19
2020-01-17,1.44,16.2,12.7,62.0,96.0,37.0,85.21,1.8,0.0,7.4,15.97
2020-01-18,1.28,14.3,11.6,78.0,93.0,50.0,85.31,1.4,0.0,5.0,13.03
2020-01-19,1.4,14.7,13.3,75.0,96.0,58.0,85.39,1.1,0.0,9.0,18.06
2020-01-20,1.49,16.3,13.3,63.0,85.0,47.0,85.5,1.7,0.0,9.0,18.11
2020-01-21,1.38,16.1,12.0,64.0,95.0,40.0,85.47,1.4,0.0,5.4,13.66
2020-01-22,1.53,18.7,13.7,72.0,98.0,43.0,85.15,1.8,0.0,7.4,16.22
2020-01-23,1.47,16.8,13.2,78.0,96.0,54.0,85.04,1.8,0.0,9.6,19.04
2020-01-24,1.37,15.8,11.5,69.0,95.0,45.0,85.05,2.6,0.0,5.0,13.29
2020-01-25,1.48,15.4,14.1,81.0,90.0,65.0,85.27,3.4,0.0,10.0,19.67
2020-01-26,1.31,13.9,12.1,74.0,87.0,50.0,85.37,2.1,0.0,9.2,18.72
2020-01-27,1.29,15.7,11.4,68.0,98.0,43.0,85.2,2.9,0.0,5.0,13.43
2020-01-28,1.01,12.4,8.3,60.0,94.0,32.0,84.97,2.1,0.0,0.8,8.11
2020-01-29,0.96,11.5,8.2,52.0,87.0,28.0,84.9,4.1,0.0,3.0,10.97
2020-01-30,1.36,15.6,12.7,78.0,88.0,70.0,85.03,1.8,0.1,10.0,20.01
2020-01-31,1.23,13.6,11.5,68.0,95.0,43.0,85.04,1.8,0.0,6.6,15.7
