date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-10-01,1.88,20.7,18.0,73.0,96.0,56.0,84.89,2.2,0.0,14.8,29.69
2019-10-02,1.96,22.6,17.8,71.0,96.0,51.0,84.88,2.6,4.9,15.0,29.89
2019-10-03,1.98,22.1,17.8,84.0,96.0,63.0,84.98,1.1,10.0,13.6,27.81
2019-10-04,1.94,21.5,17.2,77.0,96.0,53.0,85.16,0.8,3.8,12.8,26.59
2019-10-05,1.84,21.3,17.2,84.0,96.0,66.0,85.3,1.6,0.2,12.4,25.94
2019-10-06,2.01,20.9,19.2,81.0,96.0,61.0,85.24,1.6,5.0,16.8,32.09
2019-10-07,1.77,19.8,14.4,62.0,96.0,38.0,84.98,1.3,0.0,14.8,29.17
2019-10-08,1.56,17.7,14.0,70.0,88.0,53.0,85.09,2.0,0.0,12.0,25.13
2019-10-09,1.64,18.1,14.8,73.0,92.0,61.0,85.08,0.8,0.0,11.0,23.65
2019-10-10,1.97,21.4,18.4,79.0,92.0,56.0,85.05,0.8,6.3,13.0,26.38
2019-10-11,1.87,20.4,17.4,81.0,96.0,62.0,85.05,1.0,1.8,13.0,26.29
2019-10-12,1.91,20.9,18.3,82.0,94.0,65.0,85.08,0.9,0.0,15.0,28.99
2019-10-13,1.72,19.1,15.7,77.0,96.0,52.0,85.12,2.6,0.0,10.8,23.06
2019-10-14,2.1,24.1,18.4,78.0,96.0,55.0,85.02,1.4,11.3,13.0,26.03
2019-10-15,2.16,24.3,20.0,72.0,94.0,49.0,84.91,1.5,0.0,15.4,29.26
2019-10-16,2.14,22.5,20.3,75.0,93.0,59.0,84.79,1.5,5.9,17.0,31.37
2019-10-17,2.0,20.4,19.7,87.0,96.0,73.0,84.93,0.7,22.9,15.4,29.07
2019-10-18,2.0,20.9,19.0,83.0,98.0,68.0,84.9,1.7,0.0,15.0,28.42
2019-10-19,2.01,22.0,19.3,88.0,94.0,71.0,84.86,1.6,3.4,16.0,29.69
2019-10-20,2.0,20.5,18.8,90.0,98.0,78.0,84.82,3.8,10.6,16.0,29.59
2019-10-21,1.85,19.9,16.9,75.0,98.0,58.0,85.03,2.3,0.0,11.4,23.24
2019-10-22,1.89,21.5,16.8,78.0,96.0,52.0,85.08,1.3,6.3,13.0,25.32
2019-10-23,1.81,19.4,16.8,76.0,96.0,48.0,85.03,0.9,9.3,13.0,25.23
2019-10-24,1.79,19.1,16.6,82.0,98.0,58.0,84.98,1.0,0.0,12.6,24.61
2019-10-25,1.91,21.3,17.0,74.0,96.0,57.0,84.88,0.8,0.6,12.0,23.71
2019-10-26,1.83,20.1,16.9,81.0,94.0,62.0,84.97,2.4,0.0,12.0,23.63
2019-10-27,1.52,18.5,13.6,79.0,93.0,44.0,85.08,1.6,0.0,8.6,19.01
2019-10-28,1.73,20.9,14.7,72.0,96.0,50.0,84.97,2.4,0.0,9.0,19.47
2019-10-29,1.88,20.0,17.6,74.0,96.0,57.0,84.94,2.9,0.0,13.4,25.23
2019-10-30,1.9,21.0,17.9,76.0,96.0,57.0,85.05,2.5,0.0,13.4,25.14
2019-10-31,1.92,22.9,15.6,76.0,98.0,52.0,85.08,2.0,17.6,10.0,20.58
