date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-04-01,0.93,12.4,6.8,43.0,96.0,18.0,85.13,1.9,0.0,5.8,17.93
2019-04-02,0.72,8.9,5.5,34.0,77.0,14.0,85.21,3.2,0.0,3.4,14.34
2019-04-03,0.76,10.0,5.9,36.0,75.0,15.0,85.31,3.0,0.0,4.2,15.58
2019-04-04,0.89,9.9,8.2,40.0,80.0,21.0,85.38,3.5,0.0,4.4,15.91
2019-04-05,0.9,10.1,8.0,38.0,69.0,20.0,85.11,3.5,0.0,5.8,18.06
2019-04-06,1.01,11.0,9.1,34.0,77.0,26.0,85.1,1.1,0.0,7.0,19.91
2019-04-07,1.03,11.5,9.0,64.0,95.0,25.0,85.08,1.7,0.0,3.0,13.88
2019-04-08,0.75,10.0,5.2,34.0,71.0,12.0,85.09,1.7,0.0,4.0,15.42
2019-04-09,0.79,10.1,4.8,34.0,72.0,10.0,85.07,1.5,0.0,4.4,16.05
2019-04-10,0.95,11.7,8.4,39.0,72.0,20.0,84.97,4.4,0.0,5.0,16.99
2019-04-11,0.92,10.9,7.0,42.0,91.0,16.0,84.78,4.1,0.0,5.0,17.02
2019-04-12,0.92,10.7,7.3,42.0,83.0,20.0,84.7,3.9,0.0,5.0,17.04
2019-04-13,1.32,16.4,10.9,74.0,94.0,44.0,84.82,2.7,0.0,4.8,16.76
2019-04-14,1.02,10.9,8.4,61.0,95.0,22.0,84.95,0.6,0.0,4.0,15.56
2019-04-15,0.81,9.5,5.8,34.0,72.0,13.0,84.99,3.2,0.0,5.4,17.72
2019-04-16,0.87,11.1,6.2,34.0,76.0,14.0,85.18,3.6,0.0,8.0,21.7
2019-04-17,0.92,10.3,7.8,37.0,74.0,18.0,85.1,4.4,0.0,5.8,18.37
2019-04-18,0.94,12.0,5.8,38.0,87.0,13.0,84.84,3.7,0.0,6.0,18.69
2019-04-19,0.93,13.2,6.0,37.0,83.0,13.0,84.99,1.1,0.0,6.0,18.71
2019-04-20,1.26,13.6,11.6,60.0,92.0,28.0,85.28,1.4,0.0,7.5,21.02
2019-04-21,0.86,10.2,6.7,43.0,72.0,16.0,85.32,1.4,0.0,7.4,20.88
2019-04-22,1.11,13.7,9.2,48.0,82.0,20.0,85.2,2.7,0.0,7.0,20.29
2019-04-23,1.16,13.6,8.6,49.0,82.0,20.0,85.02,3.0,0.0,9.0,23.36
2019-04-24,1.11,13.6,8.8,49.0,82.0,20.0,84.97,2.0,0.0,8.0,21.84
2019-04-25,1.03,12.5,7.4,51.0,82.0,17.0,85.04,2.2,0.0,9.0,23.38
2019-04-26,0.93,10.8,6.9,43.0,77.0,13.0,85.15,0.8,0.0,7.6,21.26
2019-04-27,1.04,11.4,9.0,51.0,78.0,21.0,85.22,0.9,0.0,8.6,22.8
2019-04-28,1.04,11.4,9.0,51.0,78.0,21.0,85.22,0.9,0.0,8.6,22.81
2019-04-29,1.1,12.5,9.7,41.0,65.0,18.0,85.09,1.2,0.0,10.0,24.95
2019-04-30,1.25,14.2,9.5,47.0,79.0,17.0,85.04,2.0,0.0,10.4,25.57
