date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-06-01,1.76,20.6,16.3,62.0,92.0,38.0,85.02,0.7,1.5,11.0,26.4
2020-06-02,1.82,19.6,16.7,57.0,90.0,40.0,85.0,3.0,0.0,13.0,29.4
2020-06-03,1.78,21.0,13.9,51.0,91.0,25.0,84.79,2.4,2.0,14.0,30.9
2020-06-04,1.72,22.2,9.3,47.0,91.0,16.0,84.62,1.9,0.0,15.0,32.39
2020-06-05,2.06,21.5,19.8,58.0,91.0,38.0,84.73,5.0,0.0,14.8,32.08
2020-06-06,1.95,20.3,18.1,74.0,91.0,53.0,84.93,3.9,0.0,14.0,30.87
2020-06-07,1.91,20.0,18.6,74.0,87.0,58.0,85.0,3.7,0.0,16.0,33.86
2020-06-08,1.86,19.8,17.9,60.0,85.0,45.0,85.01,3.4,0.0,16.0,33.86
2020-06-09,1.88,20.0,17.4,59.0,90.0,38.0,84.94,4.4,0.0,12.6,28.75
2020-06-10,1.78,18.8,15.5,54.0,90.0,31.0,85.08,1.5,0.0,13.0,29.34
2020-06-11,1.8,19.4,16.1,63.0,90.0,44.0,85.35,1.2,0.1,12.6,28.74
2020-06-12,1.82,19.4,15.7,60.0,83.0,43.0,85.29,1.7,10.7,12.0,27.83
2020-06-13,1.61,16.9,15.2,67.0,92.0,44.0,85.21,1.2,0.0,11.0,26.33
2020-06-14,1.92,20.7,18.1,73.0,89.0,48.0,85.14,1.5,1.2,14.0,30.82
2020-06-15,1.96,20.9,17.3,61.0,92.0,39.0,85.13,2.4,0.0,13.6,30.21
2020-06-16,1.91,20.4,16.5,59.0,91.0,34.0,85.14,3.2,0.0,14.0,30.81
2020-06-17,2.0,22.1,18.5,63.0,87.0,41.0,85.12,3.1,1.5,16.0,33.79
2020-06-18,1.89,20.8,17.6,63.0,89.0,36.0,85.04,3.4,11.6,14.0,30.8
2020-06-19,1.9,20.9,17.5,58.0,91.0,40.0,84.99,4.3,1.6,14.0,30.8
2020-06-20,1.9,19.5,18.1,79.0,90.0,57.0,85.21,1.4,12.3,14.0,30.79
2020-06-21,1.96,20.9,18.7,83.0,94.0,66.0,85.32,2.2,1.9,15.0,32.28
2020-06-22,2.0,21.0,17.6,68.0,92.0,44.0,85.18,2.9,11.4,15.8,33.48
2020-06-23,1.88,20.8,16.6,72.0,92.0,55.0,85.05,2.2,0.9,13.8,30.48
2020-06-24,1.75,19.9,15.9,69.0,86.0,49.0,84.89,2.3,3.1,13.0,29.29
2020-06-25,1.83,20.5,16.7,71.0,94.0,52.0,84.92,3.5,1.6,14.0,30.78
2020-06-26,1.85,19.3,16.9,74.0,96.0,55.0,85.18,4.4,0.0,14.8,31.97
2020-06-27,1.69,18.9,14.9,81.0,94.0,66.0,85.21,2.2,0.0,11.0,26.29
2020-06-28,1.73,18.1,16.0,67.0,90.0,43.0,85.15,3.2,0.0,12.4,28.39
2020-06-29,1.67,18.6,15.1,57.0,92.0,36.0,85.06,2.7,0.0,10.0,24.8
2020-06-30,1.97,22.3,16.5,67.0,89.0,47.0,85.03,1.3,3.0,16.0,33.77
