date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-08-01,1.81,17.1,15.9,72.0,98.0,46.0,85.22,1.4,13.3,13.0,29.32
2019-08-02,1.77,18.9,14.3,68.0,98.0,37.0,85.15,1.1,20.5,14.0,30.83
2019-08-03,1.85,21.2,17.2,81.0,98.0,55.0,85.12,1.2,0.0,13.0,29.32
2019-08-04,1.74,18.3,16.4,72.0,98.0,47.0,85.22,0.6,8.6,13.0,29.32
2019-08-05,1.89,20.0,17.3,74.0,98.0,51.0,85.21,2.0,8.9,13.4,29.92
2019-08-06,1.96,20.5,18.5,87.0,98.0,61.0,85.27,0.7,17.8,14.0,30.82
2019-08-07,1.86,20.9,17.7,69.0,98.0,52.0,85.12,1.1,1.6,15.0,32.32
2019-08-08,1.96,20.8,18.0,70.0,98.0,49.0,85.18,2.6,0.0,15.6,33.22
2019-08-09,1.82,20.2,16.0,65.0,98.0,39.0,85.11,0.6,0.0,13.0,29.29
2019-08-10,1.88,19.3,18.3,79.0,98.0,54.0,85.11,0.9,0.1,14.0,30.79
2019-08-11,1.83,19.5,17.1,70.0,98.0,46.0,85.33,1.7,4.2,14.8,31.99
2019-08-12,1.94,19.7,19.2,82.0,98.0,57.0,85.33,0.6,12.0,15.0,32.28
2019-08-13,1.83,19.0,17.6,64.0,98.0,46.0,85.11,2.6,0.0,14.2,31.06
2019-08-14,2.02,22.1,18.8,73.0,98.0,46.0,85.15,0.7,7.5,18.0,36.8
2019-08-15,1.85,20.2,17.0,66.0,98.0,43.0,85.27,2.1,0.0,13.4,29.83
2019-08-16,1.98,20.8,18.3,71.0,98.0,50.0,85.25,0.6,6.8,16.0,33.74
2019-08-17,1.8,19.4,17.0,77.0,95.0,54.0,85.15,0.6,0.7,13.8,30.4
2019-08-18,1.99,20.8,19.4,77.0,98.0,52.0,85.08,0.6,0.0,15.6,33.11
2019-08-19,2.12,25.6,19.2,67.0,98.0,45.0,84.91,0.8,21.0,16.8,34.9
2019-08-20,1.79,20.4,16.3,63.0,98.0,41.0,84.98,0.8,3.2,14.0,30.65
2019-08-21,1.99,22.1,17.0,72.0,98.0,47.0,85.13,3.4,0.0,16.0,33.65
2019-08-22,1.75,19.3,16.1,63.0,89.0,44.0,85.13,3.4,6.5,15.4,32.73
2019-08-23,1.75,19.0,14.4,63.0,98.0,43.0,85.13,1.2,11.6,14.0,30.59
2019-08-24,1.99,21.1,19.3,90.0,97.0,75.0,85.26,1.5,1.7,16.0,33.58
2019-08-25,2.08,21.4,19.2,83.0,98.0,53.0,85.23,0.6,0.0,16.0,33.56
2019-08-26,1.89,19.8,17.6,67.0,98.0,50.0,85.02,2.5,0.0,14.0,30.51
2019-08-27,1.74,19.6,14.6,61.0,98.0,39.0,85.01,2.6,4.6,14.0,30.49
2019-08-28,1.77,19.2,16.6,64.0,98.0,46.0,85.17,1.1,0.0,12.8,28.65
2019-08-29,1.79,20.3,15.9,62.0,98.0,38.0,85.16,1.7,1.3,14.2,30.73
2019-08-30,1.89,21.0,16.9,67.0,98.0,47.0,85.19,2.9,0.0,14.0,30.39
2019-08-31,1.7,18.8,14.6,73.0,97.0,45.0,85.19,0.6,0.0,14.0,30.36
