date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-03-01,1.44,17.2,11.3,62.0,98.0,30.0,85.15,2.0,0.0,13.0,26.58
2019-03-02,1.44,15.4,12.7,78.0,98.0,36.0,85.3,0.6,0.0,10.2,22.7
2019-03-03,1.44,15.4,12.7,78.0,98.0,36.0,85.3,0.6,0.0,10.2,22.78
2019-03-04,1.28,15.3,10.7,54.0,98.0,28.0,85.05,2.3,0.0,8.6,20.57
2019-03-05,1.1,11.9,9.8,49.0,93.0,23.0,85.13,3.6,0.0,6.0,16.92
2019-03-06,0.9,11.5,6.2,41.0,85.0,14.0,85.33,1.6,0.0,6.4,17.56
2019-03-07,1.1,13.4,9.2,47.0,89.0,21.0,85.29,2.0,0.0,7.0,18.48
2019-03-08,1.09,13.0,7.9,46.0,88.0,17.0,85.08,3.1,0.0,7.2,18.83
2019-03-09,1.12,12.1,9.7,65.0,96.0,25.0,85.03,0.7,0.0,6.0,17.15
2019-03-10,1.06,12.8,7.7,61.0,94.0,21.0,85.08,0.6,0.0,6.2,17.5
2019-03-11,1.15,13.8,9.3,48.0,96.0,21.0,85.04,1.3,0.0,7.2,19.01
2019-03-12,0.9,11.6,5.9,42.0,83.0,15.0,85.09,3.8,0.0,5.8,17.03
2019-03-13,1.08,12.5,9.3,52.0,98.0,26.0,84.98,4.2,0.0,5.6,16.79
2019-03-14,1.12,13.1,10.1,51.0,96.0,28.0,84.99,3.9,0.0,5.4,16.55
2019-03-15,1.1,13.3,10.1,50.0,95.0,26.0,84.97,3.8,0.0,4.4,15.14
2019-03-16,1.31,14.7,11.9,72.0,97.0,39.0,85.19,2.8,0.0,7.3,19.44
2019-03-17,1.27,13.4,11.9,66.0,88.0,40.0,85.24,1.5,0.0,8.0,20.52
2019-03-18,1.28,14.0,11.7,58.0,98.0,35.0,85.0,5.0,0.0,6.8,18.81
2019-03-19,0.89,11.2,6.1,47.0,98.0,16.0,85.02,3.1,0.0,3.4,13.84
2019-03-20,0.79,9.5,5.8,42.0,86.0,16.0,85.11,2.8,0.0,3.0,13.29
2019-03-21,0.84,10.4,5.9,40.0,87.0,15.0,85.13,3.6,0.0,4.0,14.81
2019-03-22,1.01,12.0,8.6,49.0,98.0,24.0,85.15,3.9,0.0,4.0,14.85
2019-03-23,1.17,13.6,10.6,73.0,98.0,38.0,85.33,1.2,0.0,4.8,16.08
2019-03-24,1.04,11.4,8.3,64.0,93.0,22.0,85.39,0.6,0.0,4.8,16.12
2019-03-25,0.87,9.8,7.5,37.0,82.0,16.0,85.1,2.0,0.0,4.6,15.87
2019-03-26,0.89,11.8,5.7,37.0,77.0,12.0,85.07,2.8,0.0,6.4,18.59
2019-03-27,0.94,11.6,7.9,38.0,72.0,17.0,85.21,3.2,0.0,5.6,17.44
2019-03-28,0.91,11.8,6.9,37.0,77.0,16.0,85.26,3.2,0.0,7.0,19.58
2019-03-29,0.79,9.8,5.8,35.0,74.0,13.0,85.04,4.1,0.0,5.0,16.62
2019-03-30,0.99,11.1,7.9,59.0,87.0,20.0,84.98,0.8,0.0,4.8,16.35
2019-03-31,0.95,10.1,8.9,53.0,80.0,22.0,85.02,0.8,0.0,5.4,17.29
