date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-11-01,1.94,20.9,18.3,81.0,91.0,63.0,85.49,1.2,0.0,15.0,26.97
2020-11-02,1.05,11.6,9.5,45.0,65.0,32.0,85.48,2.4,0.0,10.0,20.36
2020-11-03,1.05,12.2,8.7,48.0,65.0,38.0,85.35,2.0,0.0,8.8,18.72
2020-11-04,1.23,13.1,11.2,52.0,82.0,36.0,85.23,2.5,0.0,9.0,18.92
2020-11-05,0.95,10.6,8.4,42.0,59.0,27.0,85.13,2.2,0.0,10.0,20.14
2020-11-06,1.2,14.4,9.5,51.0,64.0,39.0,84.98,2.2,0.0,9.8,19.81
2020-11-07,1.33,16.2,11.1,74.0,91.0,51.0,85.06,2.1,0.0,6.0,14.86
2020-11-08,1.46,17.3,13.7,78.0,96.0,44.0,85.12,3.0,0.0,9.8,19.68
2020-11-09,1.31,15.2,10.8,58.0,93.0,39.0,85.12,2.5,0.0,6.6,15.52
2020-11-10,1.41,16.4,11.4,62.0,95.0,32.0,84.94,2.5,0.0,6.2,14.96
2020-11-11,1.59,17.9,13.1,66.0,95.0,50.0,85.0,2.5,0.0,8.4,17.7
2020-11-12,1.55,18.4,13.4,63.0,95.0,36.0,85.13,2.3,0.0,8.2,17.39
2020-11-13,1.58,18.7,13.1,65.0,95.0,36.0,85.2,3.0,0.0,8.0,17.08
2020-11-14,1.58,18.8,13.6,84.0,98.0,56.0,85.27,2.0,0.0,8.6,17.78
2020-11-15,1.65,18.0,15.2,84.0,98.0,54.0,85.24,2.4,0.0,12.0,21.99
2020-11-16,1.41,16.4,12.7,55.0,87.0,35.0,85.29,1.9,0.0,11.0,20.67
2020-11-17,1.17,13.3,10.7,59.0,67.0,46.0,85.59,1.6,0.0,10.8,20.36
2020-11-18,1.33,14.1,12.4,55.0,79.0,40.0,85.38,1.5,0.0,11.4,21.05
2020-11-19,1.21,13.5,11.1,53.0,75.0,37.0,85.36,1.9,0.0,9.4,18.5
2020-11-20,1.3,15.3,11.2,56.0,90.0,40.0,85.36,1.6,0.0,6.4,14.73
2020-11-21,1.36,15.3,12.3,69.0,89.0,49.0,85.43,2.1,0.0,8.4,17.17
2020-11-22,1.4,14.7,13.3,69.0,83.0,49.0,85.28,2.0,0.0,11.0,20.32
2020-11-23,1.34,16.8,10.6,54.0,88.0,42.0,85.19,1.5,0.0,7.0,15.35
2020-11-24,1.52,17.1,13.2,62.0,96.0,37.0,85.18,1.4,0.0,8.0,16.54
2020-11-25,1.57,18.2,14.6,62.0,98.0,37.0,85.24,2.3,0.0,9.6,18.46
2020-11-26,1.45,18.8,12.3,58.0,89.0,33.0,85.16,2.8,0.0,8.0,16.46
2020-11-27,1.58,19.1,13.5,62.0,98.0,31.0,85.11,2.8,0.0,8.4,16.91
2020-11-28,1.39,15.6,12.1,74.0,91.0,46.0,85.16,1.9,0.0,9.0,17.6
2020-11-29,1.64,19.1,14.4,78.0,94.0,58.0,85.12,2.3,0.0,10.0,18.78
2020-11-30,1.63,19.1,14.3,85.0,94.0,65.0,85.29,3.4,0.0,10.8,19.71
