date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-09-01,1.92,20.8,17.8,66.0,92.0,49.0,85.21,2.6,0.0,13.6,29.68
2020-09-02,1.96,22.5,17.2,70.0,92.0,49.0,85.13,1.5,0.0,13.6,29.65
2020-09-03,2.17,23.7,20.1,74.0,95.0,55.0,84.94,1.3,1.9,17.6,35.6
2020-09-04,1.91,20.5,18.1,63.0,94.0,47.0,84.92,0.4,0.0,14.0,30.16
2020-09-05,1.78,20.8,16.7,72.0,80.0,62.0,85.16,0.9,9.4,15.0,31.62
2020-09-06,1.99,20.2,19.6,83.0,96.0,63.0,85.32,1.3,3.7,15.0,31.57
2020-09-07,1.99,21.2,18.8,76.0,94.0,61.0,84.95,0.7,0.5,14.8,31.22
2020-09-08,1.94,20.5,18.4,71.0,94.0,51.0,84.73,2.2,0.0,16.0,32.96
2020-09-09,1.91,20.3,18.5,72.0,96.0,57.0,84.92,2.4,1.6,14.0,29.93
2020-09-10,2.03,21.5,19.5,72.0,94.0,52.0,85.12,2.6,26.3,15.0,31.37
2020-09-11,1.92,20.5,17.6,72.0,98.0,50.0,85.12,2.0,0.0,13.8,29.53
2020-09-12,1.92,19.8,18.1,78.0,94.0,57.0,85.07,2.5,0.0,15.0,31.26
2020-09-13,1.92,19.9,18.5,76.0,91.0,57.0,85.07,1.2,1.4,15.4,31.79
2020-09-14,1.91,20.3,17.7,68.0,96.0,46.0,85.12,2.0,0.0,15.0,31.14
2020-09-15,2.09,22.5,19.6,79.0,94.0,62.0,85.2,1.1,12.2,16.0,32.56
2020-09-16,2.11,22.4,20.3,79.0,96.0,62.0,85.13,2.2,0.5,16.0,32.49
2020-09-17,2.06,21.3,19.8,78.0,94.0,65.0,85.0,1.4,1.6,15.0,30.95
2020-09-18,2.07,22.7,19.6,77.0,94.0,53.0,84.94,0.7,2.0,17.0,33.82
2020-09-19,1.89,19.9,18.0,78.0,91.0,63.0,85.04,2.2,20.0,15.0,30.82
2020-09-20,1.9,19.8,18.3,79.0,96.0,60.0,85.11,1.9,0.0,14.0,29.28
2020-09-21,1.95,20.7,18.5,74.0,94.0,51.0,85.18,2.3,53.9,13.8,28.92
2020-09-22,2.07,22.0,19.3,82.0,96.0,62.0,85.19,1.2,14.6,15.0,30.6
2020-09-23,1.87,20.2,17.3,80.0,94.0,62.0,85.23,1.8,0.0,14.0,29.07
2020-09-24,1.97,21.1,17.6,70.0,94.0,54.0,85.07,1.6,0.0,15.0,30.46
2020-09-25,1.8,19.7,16.4,72.0,90.0,51.0,85.18,0.3,17.0,14.0,28.93
2020-09-26,1.77,19.6,15.8,83.0,98.0,63.0,85.24,0.9,1.6,12.0,25.96
2020-09-27,1.83,20.6,16.3,81.0,96.0,60.0,85.09,1.8,0.0,12.4,26.47
2020-09-28,2.06,22.9,19.0,70.0,94.0,54.0,84.85,1.9,0.0,15.0,30.14
2020-09-29,1.79,19.5,15.3,65.0,91.0,41.0,85.11,1.2,19.0,16.0,31.5
2020-09-30,1.42,16.9,12.1,56.0,76.0,43.0,85.23,1.3,0.0,11.0,24.24
