date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-12-01,1.58,19.1,13.4,70.0,96.0,48.0,85.33,1.6,0.0,8.0,16.31
2019-12-02,1.58,19.1,13.4,70.0,96.0,48.0,85.33,1.6,0.0,8.0,16.28
2019-12-03,1.88,20.5,16.8,76.0,96.0,54.0,85.3,3.0,0.0,8.0,16.25
2019-12-04,1.64,18.6,13.5,74.0,92.0,37.0,85.27,1.1,0.0,8.0,16.22
2019-12-05,1.62,19.2,13.2,72.0,98.0,48.0,85.22,2.1,0.0,8.0,16.19
2019-12-06,1.42,16.0,12.7,80.0,95.0,50.0,85.42,1.4,0.0,6.6,14.48
2019-12-07,1.35,15.5,11.2,73.0,96.0,47.0,85.6,1.2,0.0,9.0,17.35
2019-12-08,1.65,17.5,15.3,84.0,96.0,57.0,85.5,1.9,0.0,9.4,17.81
2019-12-09,1.63,19.6,12.6,73.0,98.0,52.0,85.14,2.2,0.0,7.2,15.14
2019-12-10,1.4,17.1,11.3,66.0,96.0,37.0,85.13,2.2,0.0,9.8,18.24
2019-12-11,1.23,15.1,9.5,63.0,95.0,31.0,85.29,2.7,0.0,3.8,11.04
2019-12-12,1.29,14.7,11.0,62.0,95.0,39.0,85.37,2.4,0.0,4.2,11.51
2019-12-13,1.26,11.6,10.4,58.0,98.0,37.0,85.21,1.7,0.0,4.8,12.21
2019-12-14,1.05,9.2,7.7,73.0,95.0,40.0,85.14,2.8,0.0,2.0,8.86
2019-12-15,1.2,11.8,9.6,82.0,98.0,39.0,85.24,2.8,0.0,4.0,11.24
2019-12-16,1.3,15.8,11.5,65.0,98.0,39.0,85.09,2.3,0.0,5.4,12.91
2019-12-17,1.46,16.0,12.8,72.0,98.0,45.0,85.03,2.0,0.0,8.0,16.01
2019-12-18,1.36,15.2,11.8,68.0,98.0,43.0,85.0,2.8,0.0,5.0,12.42
2019-12-19,1.34,15.4,11.0,71.0,97.0,50.0,85.11,3.3,0.0,3.8,10.99
2019-12-20,1.46,16.0,12.8,85.0,95.0,74.0,85.27,1.7,0.0,8.0,16.0
2019-12-21,1.43,15.2,13.9,91.0,94.0,89.0,85.25,1.3,0.4,6.0,13.61
2019-12-22,1.2,12.6,11.4,80.0,90.0,59.0,85.44,2.0,0.0,7.0,14.81
2019-12-23,1.2,13.3,10.4,79.0,95.0,52.0,85.35,1.4,0.0,3.6,10.76
2019-12-24,1.29,15.1,11.2,80.0,97.0,50.0,85.27,0.8,0.0,4.0,11.24
2019-12-25,1.34,16.2,11.5,82.0,98.0,56.0,85.08,2.2,0.0,4.6,11.96
2019-12-26,1.23,14.5,11.0,79.0,97.0,51.0,85.05,2.6,0.0,4.0,11.25
2019-12-27,1.26,14.5,11.2,80.0,98.0,49.0,85.12,3.5,0.0,4.0,11.26
2019-12-28,1.57,17.0,15.1,83.0,98.0,61.0,85.13,1.3,0.0,10.0,18.46
2019-12-29,1.57,17.0,15.1,83.0,98.0,61.0,85.13,1.3,0.0,10.0,18.48
2019-12-30,1.26,16.2,10.8,81.0,97.0,54.0,85.11,3.6,0.0,5.0,12.5
2019-12-31,1.29,15.5,10.7,82.0,95.0,56.0,85.28,2.4,0.0,4.0,11.31
