date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2019-07-01,1.71,19.6,15.3,65.0,98.0,41.0,85.19,0.7,0.5,10.6,25.69
2019-07-02,1.61,18.3,14.6,56.0,98.0,37.0,85.14,3.1,0.0,10.4,25.39
2019-07-03,1.57,20.0,12.5,56.0,96.0,31.0,85.09,0.7,0.2,11.0,26.29
2019-07-04,1.56,18.5,12.2,57.0,98.0,30.0,85.15,1.4,28.1,9.0,23.3
2019-07-05,1.88,20.4,17.5,74.0,98.0,46.0,85.34,2.0,2.3,12.0,27.79
2019-07-06,1.86,20.5,17.1,74.0,96.0,51.0,85.29,1.0,6.6,11.0,26.29
2019-07-07,1.89,19.5,18.5,79.0,98.0,51.0,85.41,0.7,0.0,13.6,30.19
2019-07-08,1.68,18.5,14.9,55.0,98.0,35.0,85.17,4.1,0.0,12.4,28.39
2019-07-09,1.78,21.8,15.0,64.0,98.0,35.0,85.19,0.7,1.0,12.0,27.79
2019-07-10,1.96,22.7,16.8,68.0,98.0,40.0,85.16,0.8,29.0,12.8,28.99
2019-07-11,1.88,21.1,17.5,71.0,98.0,47.0,85.08,0.8,9.5,13.4,29.9
2019-07-12,1.79,19.5,15.5,68.0,98.0,40.0,85.04,2.0,3.8,12.6,28.7
2019-07-13,1.96,19.9,19.0,76.0,98.0,53.0,85.15,1.1,12.0,14.0,30.8
2019-07-14,1.96,19.9,19.0,76.0,98.0,53.0,85.15,1.1,0.0,14.0,30.8
2019-07-15,1.81,20.0,16.9,65.0,98.0,46.0,85.07,2.4,0.0,12.6,28.71
2019-07-16,1.74,20.3,15.2,62.0,98.0,38.0,85.16,0.9,1.4,12.6,28.71
2019-07-17,1.78,20.4,15.5,63.0,98.0,50.0,85.22,2.3,3.2,11.6,27.21
2019-07-18,1.97,21.6,17.5,72.0,98.0,45.0,85.15,0.9,2.3,14.8,32.02
2019-07-19,1.85,20.3,17.5,70.0,98.0,45.0,85.08,1.0,11.5,13.0,29.32
2019-07-20,1.62,17.2,14.9,73.0,97.0,51.0,85.17,0.7,7.1,11.0,26.31
2019-07-21,1.91,19.8,18.6,85.0,98.0,59.0,85.28,0.6,9.6,13.0,29.32
2019-07-22,1.71,18.9,15.8,67.0,98.0,44.0,85.18,0.8,0.0,10.0,24.81
2019-07-23,1.76,19.8,15.1,68.0,98.0,47.0,85.2,0.9,8.5,15.0,32.33
2019-07-24,1.9,20.9,16.1,72.0,98.0,48.0,85.26,1.6,5.5,15.0,32.33
2019-07-25,1.8,19.7,15.2,71.0,98.0,50.0,85.23,0.7,7.9,14.0,30.83
2019-07-26,1.82,20.2,16.7,72.0,98.0,56.0,85.27,1.2,7.8,14.6,31.74
2019-07-27,1.82,19.3,16.6,77.0,98.0,57.0,85.43,0.8,0.1,14.0,30.83
2019-07-28,1.67,17.2,16.1,75.0,98.0,51.0,85.47,1.2,5.5,12.8,29.03
2019-07-29,1.65,20.0,13.6,65.0,98.0,38.0,85.22,1.1,9.6,13.4,29.93
2019-07-30,1.72,18.6,16.2,65.0,98.0,42.0,85.21,1.0,5.6,13.0,29.33
2019-07-31,1.71,18.5,15.5,70.0,98.0,50.0,85.22,0.7,5.8,13.2,29.63
