date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-02-01,1.24,12.8,12.0,74.0,89.0,54.0,85.32,1.7,0.0,8.0,17.57
2020-02-02,1.2,12.8,11.1,65.0,79.0,48.0,85.43,0.9,0.0,9.4,19.45
2020-02-03,1.54,17.2,13.8,89.0,96.0,75.0,85.25,3.6,20.0,11.0,21.61
2020-02-04,1.66,17.8,15.2,85.0,98.0,71.0,85.17,3.0,5.8,10.0,20.38
2020-02-05,1.7,18.2,15.9,89.0,98.0,77.0,84.91,2.0,1.2,11.6,22.55
2020-02-06,1.22,14.7,9.9,70.0,97.0,45.0,84.84,1.2,0.0,1.0,8.69
2020-02-07,1.09,14.0,8.6,62.0,97.0,35.0,84.96,2.0,0.0,1.0,8.73
2020-02-08,1.17,14.4,9.7,78.0,95.0,54.0,85.34,2.9,0.0,1.0,8.77
2020-02-09,1.28,15.5,10.4,79.0,95.0,50.0,85.37,3.5,0.0,3.0,11.46
2020-02-10,1.21,17.0,9.5,59.0,98.0,30.0,85.17,3.0,0.0,5.0,14.18
2020-02-11,1.1,14.6,9.0,58.0,95.0,26.0,85.08,3.0,0.0,2.0,10.22
2020-02-12,1.35,14.9,12.4,63.0,98.0,45.0,84.93,2.6,0.0,6.0,15.63
2020-02-13,1.23,14.8,11.3,60.0,98.0,39.0,85.0,2.7,0.0,4.2,13.27
2020-02-14,1.38,15.9,11.0,63.0,95.0,43.0,85.17,1.9,0.0,4.2,13.33
2020-02-15,1.39,15.5,12.2,79.0,95.0,50.0,85.36,1.7,0.0,7.0,17.17
2020-02-16,1.4,16.2,12.8,77.0,95.0,45.0,85.25,1.0,0.0,6.4,16.42
2020-02-17,1.45,17.5,12.3,63.0,93.0,33.0,84.87,2.0,0.0,7.0,17.31
2020-02-18,1.7,20.1,13.7,71.0,94.0,45.0,84.98,2.2,0.0,8.0,18.74
2020-02-19,1.55,19.2,12.6,67.0,91.0,38.0,85.18,2.0,0.0,8.0,18.81
2020-02-20,1.51,16.8,13.1,66.0,96.0,34.0,85.26,1.0,0.0,7.0,17.51
2020-02-21,1.48,16.3,13.8,64.0,93.0,39.0,85.44,1.9,0.0,9.0,20.33
2020-02-22,1.39,16.0,12.3,73.0,93.0,45.0,85.55,1.0,0.0,8.0,19.02
2020-02-23,1.39,16.0,12.3,73.0,93.0,45.0,85.55,1.0,0.0,8.0,19.1
2020-02-24,1.27,14.1,11.0,58.0,86.0,33.0,85.07,2.3,0.0,6.0,16.38
2020-02-25,1.35,16.0,11.3,65.0,88.0,44.0,84.91,2.5,0.0,7.0,17.84
2020-02-26,1.22,14.1,10.3,63.0,95.0,32.0,85.04,2.7,0.0,5.0,15.1
2020-02-27,1.24,14.1,11.1,60.0,90.0,35.0,85.3,2.1,0.0,7.0,17.97
2020-02-28,1.23,14.9,7.0,62.0,92.0,19.0,85.45,1.9,0.0,5.0,15.22
2020-02-29,1.43,17.8,12.1,76.0,95.0,50.0,85.52,0.9,0.0,8.0,19.51
