date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s
2020-05-01,1.46,19.1,12.2,54.0,74.0,34.0,85.27,2.0,1.4,9.4,24.06
2020-05-02,1.34,15.2,12.0,61.0,83.0,31.0,85.4,3.8,0.0,7.0,20.4
2020-05-03,1.29,14.1,11.5,56.0,78.0,29.0,85.28,4.0,0.0,8.0,21.93
2020-05-04,1.46,15.2,14.1,56.0,77.0,32.0,85.06,4.4,0.0,12.0,28.03
2020-05-05,1.51,17.1,13.5,54.0,72.0,36.0,85.03,1.3,6.3,12.0,28.04
2020-05-06,1.66,18.2,15.4,69.0,86.0,50.0,85.26,1.6,9.0,12.0,28.04
2020-05-07,1.72,18.0,16.5,78.0,94.0,55.0,85.29,1.3,0.1,13.4,30.17
2020-05-08,1.61,18.2,14.1,67.0,89.0,38.0,85.26,3.8,13.0,9.0,23.47
2020-05-09,1.68,18.1,15.3,72.0,96.0,48.0,85.23,1.7,0.0,9.6,24.39
2020-05-10,1.68,18.1,15.3,72.0,96.0,48.0,85.23,1.7,0.0,9.6,24.39
2020-05-11,1.4,16.2,12.5,60.0,85.0,31.0,85.41,2.6,0.0,8.6,22.87
2020-05-12,1.32,14.3,12.2,57.0,81.0,31.0,85.26,3.6,0.0,8.4,22.56
2020-05-13,1.54,17.3,13.7,66.0,89.0,40.0,85.13,3.7,0.0,8.6,22.87
2020-05-14,1.14,12.9,10.2,56.0,84.0,26.0,85.17,3.6,0.0,5.0,17.4
2020-05-15,0.87,10.1,6.6,44.0,77.0,19.0,85.04,3.7,0.0,4.4,16.49
2020-05-16,0.95,10.5,8.7,45.0,71.0,22.0,85.01,3.6,0.0,6.4,19.52
2020-05-17,0.95,10.5,8.7,45.0,71.0,22.0,85.01,3.6,0.0,6.4,19.52
2020-05-18,1.2,14.1,10.2,39.0,69.0,22.0,85.09,3.9,0.0,8.0,21.95
2020-05-19,1.2,14.0,10.2,40.0,72.0,22.0,85.06,2.6,0.0,7.0,20.43
2020-05-20,1.4,15.8,11.0,45.0,76.0,28.0,84.97,4.3,0.0,7.8,21.64
2020-05-21,1.62,18.9,13.6,53.0,87.0,33.0,84.93,2.9,0.0,8.8,23.15
2020-05-22,1.64,19.1,14.2,54.0,94.0,30.0,84.93,5.9,0.0,9.0,23.44
2020-05-23,1.41,15.0,12.9,61.0,93.0,30.0,84.99,3.6,0.0,8.0,21.93
2020-05-24,1.53,16.5,13.8,66.0,94.0,33.0,85.0,3.7,0.0,8.4,22.53
2020-05-25,1.19,14.8,9.9,46.0,95.0,24.0,84.77,4.5,0.0,5.6,18.3
2020-05-26,0.92,10.8,8.0,37.0,81.0,18.0,84.9,3.8,0.0,3.4,14.98
2020-05-27,0.85,11.3,6.2,33.0,77.0,14.0,84.99,4.2,0.0,4.4,16.49
2020-05-28,0.82,10.3,6.0,31.0,66.0,13.0,85.07,4.3,0.0,3.0,14.38
2020-05-29,1.23,13.3,11.0,41.0,76.0,24.0,84.98,1.7,2.0,7.0,20.4
2020-05-30,1.6,17.4,14.6,62.0,94.0,37.0,85.04,1.9,9.7,11.0,26.42
2020-05-31,1.51,16.4,13.7,67.0,89.0,41.0,85.08,1.3,0.2,8.8,23.1
