date,e_a,T_max,T_min,RH_mean,RH_max,RH_min,P,U_z,rain_mm,n_sun,R_s,R_n,G,T_mean,T_dew,gamma,e_max,e_min,e_s,delta,R_a,U_2
2019-01-01,1.12,12.3,10.6,80.0,98.0,48.0,85.02,0.6,0.0,5.0,12.53,6.663639341509917,0.0,11.45,,0.0565383,1.430551404412208,1.278215906569439,1.3543836554908235,0.08957424671257458,26.077789118577297,0.600133322249222
2019-01-02,1.16,13.8,10.6,88.0,98.0,69.0,85.09,0.6,0.0,5.0,12.55,6.688863343215285,0.0,12.2,,0.056584850000000006,1.5779746093220435,1.278215906569439,1.428095257945741,0.09355701173233348,26.122356384762956,0.600133322249222
2019-01-03,1.2,15.2,10.5,82.0,98.0,50.0,85.13,0.6,0.0,4.0,11.37,6.2818461197354445,0.0,12.85,,0.05661145,1.727428862466867,1.2697168912941836,1.4985728768805253,0.09712979130992233,26.170311097154656,0.600133322249222
2019-01-04,1.17,13.3,10.9,80.0,98.0,43.0,85.21,0.6,0.0,4.8,12.35,6.649789116941369,0.0,12.100000000000001,,0.05666465,1.5274177129026663,1.3040137525909687,1.4157157327468175,0.09301741605544993,26.2216260942367,0.600133322249222
2019-01-05,1.16,13.1,10.9,78.0,98.0,43.0,85.29,0.8,0.0,5.0,12.62,6.752986829552663,0.0,12.0,,0.05671785000000001,1.5075965447621003,1.3040137525909687,1.4058051486765346,0.09248047363337644,26.276272150544767,0.8001777629989627
2019-01-06,1.16,13.1,10.9,78.0,98.0,43.0,85.29,0.8,0.0,5.0,12.64,6.771551461749998,0.0,12.0,,0.05671785000000001,1.5075965447621003,1.3040137525909687,1.4058051486765346,0.09248047363337644,26.33421799021619,0.8001777629989627
2019-01-07,1.18,13.2,9.7,57.0,96.0,25.0,85.22,1.7,0.0,6.6,14.61,7.5596684257245705,0.0,11.45,,0.0566713,1.5174787226056794,1.2034938513584403,1.3604862869820598,0.08957424671257458,26.395430301865574,1.7003777463727956
2019-01-08,1.07,13.0,7.9,52.0,96.0,20.0,85.27,2.1,0.0,7.0,15.12,7.669740986614748,0.0,10.45,,0.05670455,1.4977709027569757,1.0654843299074719,1.2816276163322238,0.08448935359977879,26.459873754824407,2.100466627872277
2019-01-09,0.83,13.1,5.8,50.0,98.0,18.0,85.44,1.9,0.0,3.0,10.29,5.77534373945123,0.0,9.45,,0.056817599999999996,1.5075965447621003,0.9222402573680747,1.2149184010650875,0.07965276903890264,26.527511016784175,1.9004221871225362
2019-01-10,1.12,15.3,9.0,58.0,98.0,29.0,85.39,1.1,0.0,6.0,13.97,7.256874187521968,0.0,12.15,,0.056784350000000004,1.7385638954612772,1.1480604779781116,1.4433121867196945,0.09328688157561148,26.598302772882658,1.1002444241235736
2019-01-11,1.41,16.0,12.1,74.0,98.0,48.0,85.18,2.1,7.1,8.8,17.43,8.87677528465401,0.0,14.05,,0.056644700000000006,1.8182866804855506,1.4118391324838375,1.615062906484694,0.10403133711779046,26.672207746272974,2.100466627872277
2019-01-12,1.28,14.6,11.5,86.0,98.0,58.0,85.29,0.6,0.0,6.0,14.04,7.460854171875779,0.0,13.05,,0.05671785000000001,1.6619223807933985,1.3569857803790661,1.5094540805862322,0.09825220541303123,26.749182720214634,0.600133322249222
2019-01-13,1.21,13.6,11.2,82.0,98.0,48.0,85.37,0.6,0.0,5.4,13.34,7.16311479767248,0.0,12.399999999999999,,0.05677105,1.557578341061305,1.3302680876001909,1.443923214330748,0.09464420525868417,26.82918256172516,0.600133322249222
2019-01-14,1.24,14.4,11.3,62.0,98.0,34.0,85.3,0.8,1.4,6.0,14.11,7.484274595503869,0.0,12.850000000000001,,0.0567245,1.6405764392484408,1.339122159399848,1.4898492993241443,0.09712979130992234,26.91216024682981,0.8001777629989627
2019-01-15,1.38,15.7,12.1,68.0,98.0,47.0,85.37,1.4,0.0,10.8,20.07,9.961200376090456,0.0,13.899999999999999,,0.05677105,1.7837358312436735,1.4118391324838375,1.5977874818637554,0.10314647165347367,26.998066887445574,1.4003110852481846
2019-01-16,1.28,14.6,11.7,66.0,98.0,38.0,85.33,0.6,0.0,7.8,16.42,8.444589166227896,0.0,13.149999999999999,,0.05674445,1.6619223807933985,1.3750584263039283,1.5184904035486633,0.09881753975381831,27.08685175993411,0.600133322249222
2019-01-17,1.38,15.1,12.6,68.0,96.0,45.0,85.35,1.5,0.0,10.8,20.18,10.059382552935228,0.0,13.85,,0.056757749999999996,1.7163564077019398,1.4590281988655032,1.5876923032837214,0.10285294269897247,27.178462335356034,1.5003333056230548
2019-01-18,1.26,13.6,10.8,67.0,96.0,43.0,85.22,0.6,0.0,7.4,16.02,8.357655919051416,0.0,12.2,,0.0566713,1.557578341061305,1.2953640863937455,1.4264712137275253,0.09355701173233348,27.272844311457145,0.600133322249222
2019-01-19,1.17,14.7,10.0,83.0,98.0,48.0,85.26,0.7,0.0,3.0,10.58,6.176188835251069,0.0,12.35,,0.0566979,1.6726864071818137,1.2279626193393784,1.450324513260596,0.09437140328399259,27.369941646414098,0.7001555426240923
2019-01-20,0.98,10.7,9.0,60.0,85.0,38.0,85.41,2.4,0.0,6.0,14.36,7.52913727890774,0.0,9.85,,0.05679765,1.2867648881638445,1.1480604779781116,1.217412683070978,0.0815582480755405,27.46969659436458,2.400533288996888
2019-01-21,0.98,11.3,8.0,52.0,98.0,21.0,85.23,0.8,0.0,4.5,12.53,6.8782548029501545,0.0,9.65,,0.056677950000000005,1.339122159399848,1.0727688258811263,1.2059454926404871,0.08060070223140368,27.572049742743886,0.8001777629989627
2019-01-22,1.06,13.0,8.9,56.0,98.0,28.0,85.17,2.0,0.0,5.0,13.2,7.176112306548612,0.0,10.95,,0.05663805,1.4977709027569757,1.1403276978496268,1.3190493003033013,0.0870001292642849,27.676940051445925,2.000444407497407
2019-01-23,1.16,12.9,10.3,60.0,98.0,30.0,85.12,1.7,0.0,6.6,15.26,8.072528015091859,0.0,11.600000000000001,,0.056604800000000004,1.4880015210641748,1.2528677634951673,1.3704346422796712,0.09035902567763499,27.784304893823883,1.7003777463727956
2019-01-24,1.04,11.5,8.8,55.0,98.0,26.0,85.04,3.0,0.0,5.4,13.8,7.459165805407213,0.0,10.15,,0.05655160000000001,1.3569857803790661,1.1326407811431278,1.244813280761097,0.08301276344238967,27.894080099540982,3.0006666112461096
2019-01-25,1.02,12.3,8.6,56.0,98.0,25.0,85.12,3.7,0.0,3.4,11.31,6.499426705120017,0.0,10.45,,0.056604800000000004,1.430551404412208,1.1174036087713535,1.2739775065917809,0.08448935359977879,28.006199999278298,3.7008221538702024
2019-01-26,1.11,12.0,10.2,80.0,99.0,43.0,85.16,1.7,0.0,3.0,10.84,6.382431945012819,0.0,11.1,,0.0566314,1.4025638730469563,1.2445171553891614,1.3235405142180587,0.08776565536621032,28.12059747130205,1.7003777463727956
